Track,Composer,Milliseconds,Bytes,UnitPrice,Genre,Album,Artist
Leave,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,437968,14433365,0.99,Rock,New Adventures In Hi-Fi,R.E.M.
God Part II,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",195604,6497570,0.99,Rock,Rattle And Hum,U2
Cold Gin,Ace Frehley,262243,8609783,0.99,Rock,Greatest Kiss,Kiss
Sister Morphine,Faithfull/Jagger/Richards,376215,12345289,0.99,Rock,No Security,The Rolling Stones
Nefertiti,Miles Davis,473495,15478450,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis
Take the Box,Luke Smith,199160,3281526,0.99,Pop,Frank,Amy Winehouse
Good Riddance (Time Of Your Life),Billie Joe Armstrong -Words Green Day -Music,153600,5075241,0.99,Alternative & Punk,International Superhits,Green Day
Can't Keep,Eddie Vedder,219428,7215713,0.99,Rock,Riot Act,Pearl Jam
Wall Of Denial,Doyle Bramhall/Stevie Ray Vaughan,336927,11085915,0.99,Blues,In Step,Stevie Ray Vaughan & Double Trouble
If God Will Send His Angels,"Bono, The Edge, Adam Clayton, and Larry Mullen",322533,10563329,0.99,Rock,Pop,U2
Viradouro,Dadinho/Gilbreto Gomes/Gustavo/P.C. Portugal/R. Mocoto,344320,11484362,0.99,Latin,Sambas De Enredo 2001,Various Artists
Surrender,U2,333505,11221406,0.99,Rock,War,U2
Funky Monks,Anthony Kiedis/Chad Smith/Flea/John Frusciante,323395,10708168,0.99,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers
Back in the Village,Dickinson/Smith,320548,7696518,0.99,Metal,Powerslave,Iron Maiden
Freedom For My People,"Mabins, Macie/Magee, Sterling/Robinson, Bobby",38164,1249764,0.99,Rock,Rattle And Hum,U2
Um Jantar Pra Dois,,244009,8021589,0.99,Latin,The Best of Ed Motta,Ed Motta
Hang 'Em High,Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony,210259,6872314,0.99,Rock,Diver Down,Van Halen
Spirit's in the Material World,G M Sumner,181133,5986622,0.99,Rock,The Police Greatest Hits,The Police
Maquinarama,Chico Amaral/Samuel Rosa,245629,8213710,0.99,Rock,Maquinarama,Skank
Believe,,310778,10317185,0.99,Jazz,Heart of the Night,Spyro Gyra
The Wait,Killing Joke,295418,9688418,0.99,Metal,Garage Inc. (Disc 2),Metallica
Near Wild Heaven,Bill Berry/Michael Stipe/Mike Mills/Peter Buck,199862,6610009,0.99,Alternative & Punk,Out Of Time,R.E.M. Feat. Kate Pearson
Desordem,Charles Gavin/Marcelo Fromer/Sérgio Britto,213289,7067340,0.99,Alternative & Punk,Volume Dois,Titãs
Canário Do Reino,,139337,4552858,0.99,Latin,Serie Sem Limite (Disc 2),Tim Maia
O Pulso,Titãs,199131,6566998,0.99,Alternative & Punk,Acústico,Titãs
Fear Of The Dark,Steve Harris,431333,6906078,0.99,Metal,A Real Live One,Iron Maiden
Every Little Thing She Does is Magic,G M Sumner,261120,8646853,0.99,Rock,The Police Greatest Hits,The Police
O Livro Dos Dias,Renato Russo,257253,8570929,0.99,Latin,A TempestadeTempestade Ou O Livro Dos Dias,Legião Urbana
Arc,Pearl Jam,65593,2099421,0.99,Rock,Riot Act,Pearl Jam
All My Life,Foo Fighters,263653,8665545,0.99,Alternative & Punk,One By One,Foo Fighters
Put You Down,Jerry Cantrell,196231,6420530,0.99,Rock,Facelift,Alice In Chains
Já Foi,Mônica Marianno,245681,8094872,0.99,World,Demorou...,Mônica Marianno
Gatas Extraordinárias,,212506,7095702,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Carta Ao Tom 74,,162560,5382354,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
Babyface,U2; Bono,241998,7942573,0.99,Rock,Zooropa,U2
Light My Way,Audioslave/Chris Cornell,303595,7289084,0.99,Rock,Audioslave,Audioslave
Solar,"Milton Nascimento, Fernando Brant",156212,5098288,0.99,Latin,Milton Nascimento Ao Vivo,Milton Nascimento
Something Nice Back Home,,2612779,484711353,1.99,Drama,"LOST, Season 4",Lost
Murder On the Rising Star,,2935894,551759986,1.99,Sci Fi & Fantasy,"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic)
Think,Lowman Pauling,166739,5513208,0.99,R&B/Soul,Sex Machine,James Brown
Ando Meio Desligado,Caetano Veloso,195813,6547648,0.99,Latin,Chill: Brazil (Disc 1),Marcos Valle
Trac Trac,Fito Paez/Herbert Vianna,231653,7638256,0.99,Latin,Arquivo II,Os Paralamas Do Sucesso
Whiplash,"James Hetfield, Lars Ulrich",249208,8102839,0.99,Metal,Kill 'Em All,Metallica
Brave New World,Bruce Dickinson/David Murray/Steve Harris,378984,15161472,0.99,Rock,Brave New World,Iron Maiden
A Statistic,,6373,211997,0.99,Alternative & Punk,Body Count,Body Count
Manifest Destiny,Toby Smith,382197,12676962,0.99,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai
Falamansa Song,,237165,7921313,0.99,Latin,Deixa Entrar,Falamansa
Song For Lorraine,Jay Beckenstein,240091,8101723,0.99,Jazz,Morning Dance,Spyro Gyra
Diamante De Mendigo,,206053,6775101,0.99,Rock,Raul Seixas,Raul Seixas
Corcovado (Quiet Nights Of Quiet Stars),,205662,6687994,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim
KKK Bitch,,173008,5709631,0.99,Alternative & Punk,Body Count,Body Count
União Da Ilha,"Dito/Djalma Falcao/Ilha, Almir Da/Márcio André",330945,11100945,0.99,Latin,Sambas De Enredo 2001,Various Artists
Your Mirror,Mick Hucknall,240666,7893821,0.99,Rock,Greatest Hits,Lenny Kravitz
Maybe I'm A Leo,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,290455,9502646,0.99,Rock,Machine Head,Deep Purple
Not The Doctor,Alanis Morissette & Glenn Ballard,227631,7604601,0.99,Rock,Jagged Little Pill,Alanis Morissette
Suck My Kiss,Anthony Kiedis/Chad Smith/Flea/John Frusciante,217234,7129137,0.99,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers
The Unforgettable Fire,U2,295183,9684664,0.99,Rock,The Best Of 1980-1990,U2
You Learn,Alanis Morissette & Glenn Ballard,239699,7824837,0.99,Rock,Jagged Little Pill,Alanis Morissette
Losing My Religion,Bill Berry/Michael Stipe/Mike Mills/Peter Buck,269035,8885672,0.99,Alternative & Punk,Out Of Time,R.E.M. Feat. Kate Pearson
"Concert pour 4 Parties de V**les, H. 545: I. Prelude",Marc-Antoine Charpentier,110266,1973559,0.99,Classical,"Charpentier: Divertissements, Airs & Concerts",Les Arts Florissants & William Christie
Flip The Switch,Jagger/Richards,252421,8336591,0.99,Rock,No Security,The Rolling Stones
Enquanto O Mundo Explode,Chico Science,88764,2968650,0.99,Latin,Afrociberdelia,Chico Science & Nação Zumbi
So Central Rain,R.E.M.,194768,6414550,0.99,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.
Riviera Paradise,Stevie Ray Vaughan,528692,17232776,0.99,Blues,In Step,Stevie Ray Vaughan & Double Trouble
Caffeine,,267937,8747367,0.99,Alternative & Punk,Angel Dust,Faith No More
Palco (Live),,238315,8026622,0.99,Latin,Quanta Gente Veio Ver (Live),Gilberto Gil
Walk On,"Adam Clayton, Bono, Larry Mullen, The Edge",296280,9800861,0.99,Rock,All That You Can't Leave Behind,U2
Layla,Clapton/Gordon,430733,14115792,0.99,Blues,The Cream Of Clapton,Eric Clapton
End Of The Night,"Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",172695,5589732,0.99,Rock,The Doors,The Doors
Revolution,,256026,8371254,0.99,Rock,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",The Cult
Sweet Child O' Mine,,356424,5879347,0.99,Rock,Appetite for Destruction,Guns N' Roses
Heaven Can Wait,,440555,10577743,0.99,Rock,Live At Donington 1992 (Disc 2),Iron Maiden
Love Comes,"Darius ""Take One"" Minwalla/Jon Auer/Ken Stringfellow/Matt Harris",199923,3240609,0.99,Rock,Every Kind of Light,The Posies
The 23rd Psalm,,2610416,487401604,1.99,TV Shows,"Lost, Season 2",Lost
Dude (Looks Like A Lady),"Steven Tyler, Joe Perry, Desmond Child",264855,8679940,0.99,Rock,Big Ones,Aerosmith
Minas,"Milton Nascimento, Caetano Veloso",152293,4921056,0.99,Latin,Minas,Milton Nascimento
Pride (In The Name Of Love),U2,230243,7549085,0.99,Rock,The Best Of 1980-1990,U2
Put The Finger On You,"Angus Young, Malcolm Young, Brian Johnson",205662,6713451,0.99,Rock,For Those About To Rock We Salute You,AC/DC
Get On The Snake,Chris Cornell/Kim Thayil,225123,7313744,0.99,Rock,A-Sides,Soundgarden
A Festa Do Santo Reis,,159791,5204995,0.99,Latin,Serie Sem Limite (Disc 2),Tim Maia
Wanted Dread And Alive,,260310,8670933,0.99,Reggae,Greatest Hits,Lenny Kravitz
Tanto Tempo,Vários,170292,5572240,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Infinite Dreams,Steve Harris,369005,8858669,0.99,Metal,Seventh Son of a Seventh Son,Iron Maiden
Feirinha da Pavuna/Luz do Repente/Bagaço da Laranja,"Arlindo Cruz/Franco/Marquinhos PQD/Negro, Jovelina Pérolo/Zeca Pagodinho",107206,3593684,0.99,Latin,Ao Vivo [IMPORT],Zeca Pagodinho
Motéis,,213498,7041077,0.99,Latin,Roda De Funk,Funk Como Le Gusta
Corduroy,Pearl Jam & Eddie Vedder,305293,9991106,0.99,Rock,Live On Two Legs [Live],Pearl Jam
Why Go,Jeff Ament,200254,6539287,0.99,Rock,Ten,Pearl Jam
"Hail, Hail",Stone Gossard & Eddie Vedder & Jeff Ament & Mike McCready,223764,7364206,0.99,Rock,Live On Two Legs [Live],Pearl Jam
Flight Of The Rat,"Blackmore, Gillan, Glover, Lord, Paice",478302,15563967,0.99,Rock,Deep Purple In Rock,Deep Purple
Groovus Interruptus,Jim Beard,319373,10602166,0.99,Jazz,Outbreak,Dennis Chambers
Wrathchild,Steve Harris,185808,7434368,0.99,Metal,Rock In Rio [CD1],Iron Maiden
Nene 2001,,284969,9694508,0.99,Soundtrack,Carnaval 2001,Various Artists
Nightrain,,268537,4457283,0.99,Rock,Appetite for Destruction,Guns N' Roses
Elderly Woman Behind The Counter In A Small Town,Dave Abbruzzese & Jeff Ament & Stone Gossard & Mike McCready & Eddie Vedder,229328,7509304,0.99,Rock,Live On Two Legs [Live],Pearl Jam
The Outlaw Torn,"James Hetfield, Lars Ulrich",588721,19286261,0.99,Metal,Load,Metallica
Battery,J.Hetfield/L.Ulrich,312424,10229577,0.99,Metal,Master Of Puppets,Metallica
Lords Of The Backstage,"Kelly, Mosley, Rothery, Trewaves",112875,3741319,0.99,Rock,Misplaced Childhood,Marillion
The River (Remix),The Tea Party,343170,11193268,0.99,Alternative & Punk,Tangents,The Tea Party
Bowels Of The Devil,,223216,7324125,0.99,Alternative & Punk,Body Count,Body Count
Don't Go Back To Rockville,R.E.M.,272352,9010715,0.99,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.
Macô,Chico Science,249600,8253934,0.99,Latin,Afrociberdelia,Chico Science & Nação Zumbi
Love Is The Colour,R. Carless,251585,8419165,0.99,Jazz,Blue Moods,Incognito
Without You,Van Halen,390295,12619558,0.99,Rock,Van Halen III,Van Halen
Phantom Lord,"James Hetfield, Lars Ulrich, Dave Mustaine",302053,9817143,0.99,Metal,Kill 'Em All,Metallica
Don't Take Your Love From Me,,282331,9244238,0.99,Jazz,Up An' Atom,Gene Krupa
On The Run,"Gilmour, Waters",214595,7206300,0.99,Rock,Dark Side Of The Moon,Pink Floyd
Set It Off,Audioslave/Chris Cornell,263262,6321091,0.99,Rock,Audioslave,Audioslave
Get Me Outta Here,C. Cester/N. Cester,176274,5729098,0.99,Alternative & Punk,Get Born,JET
Surprise! You're Dead!,Faith No More,147226,4823036,0.99,Alternative & Punk,The Real Thing,Faith No More
Linha Do Horizonte,Vários,279484,9275929,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Cigano,,304692,10037362,0.99,Latin,Djavan Ao Vivo - Vol. 02,Djavan
She Wears Black,G Harvey/R Hope-Taylor,528666,17617944,0.99,Jazz,Blue Moods,Incognito
Losfer Words,Steve Harris,252891,6074756,0.99,Metal,Powerslave,Iron Maiden
Blood Brothers,Steve Harris,434442,17379456,0.99,Rock,Brave New World,Iron Maiden
"War of the Gods, Pt. 2",,2923381,487899692,1.99,Sci Fi & Fantasy,"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic)
Let There Be Rock,AC/DC,366654,12021261,0.99,Rock,Let There Be Rock,AC/DC
The Negotiation,,1767851,371663719,1.99,Comedy,"The Office, Season 3",The Office
Vida Boa,Fausto Nilo - Armandinho,281730,9411272,0.99,Latin,Prenda Minha,Caetano Veloso
Fast And Loose,Clarke/Kilmister/Taylor,203337,6643350,0.99,Metal,Ace Of Spades,Motörhead
They're Red Hot,Robert Johnson,71941,2382220,0.99,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers
Dr. Heckyll & Mr. Jive,,278465,9110403,0.99,Rock,The Best Of Men At Work,Men At Work
Territorial Pissings,Kurt Cobain,143281,4613880,0.99,Rock,Nevermind,Nirvana
The Pan Piper,Miles Davis,233769,7593713,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis
Ali,Nando Reis/Samuel Rosa,306390,10110351,0.99,Rock,Maquinarama,Skank
Sangue De Bairro,Chico Science,132231,4415557,0.99,Latin,Afrociberdelia,Chico Science & Nação Zumbi
Beijo do Olhar,Mônica Marianno,252682,8369029,0.99,World,Demorou...,Mônica Marianno
Pretinha,,265273,8914579,0.99,Jazz,Quanta Gente Veio ver--Bônus De Carnaval,Gilberto Gil
Fortuneteller,"Blackmore, Glover, Turner, Lord, Paice",349335,11369671,0.99,Rock,Slaves And Masters,Deep Purple
Surrender,,287634,9422926,0.99,Jazz,Heart of the Night,Spyro Gyra
Killers,Paul Di'Anno/Steve Harris,309995,10009697,0.99,Rock,The Beast Live,Paul D'Ianno
Be Quick Or Be Dead,Bruce Dickinson/Janick Gers,196911,3151872,0.99,Metal,A Real Live One,Iron Maiden
Pau-De-Arara,"Guio De Morais E Seus ""Parentes""/Luiz Gonzaga",191660,6340649,0.99,Soundtrack,As Canções de Eu Tu Eles,Gilberto Gil
On Mercury,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",208509,6834762,0.99,Rock,By The Way,Red Hot Chili Peppers
On A Plain,Kurt Cobain,196440,6390635,0.99,Rock,Nevermind,Nirvana
"Lost (Pilot, Part 2)",,2436583,204995876,1.99,TV Shows,"Lost, Season 1",Lost
O Bicho Tá Pregando,,171964,5683369,0.99,Hip Hop/Rap,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp
Lookin' For A Reason,J.C. Fogerty,209789,6933135,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival
Be Yourself,"Cornell, Commerford, Morello, Wilk",279484,9106160,0.99,Alternative & Punk,Out Of Exile,Audioslave
Não Sei O Que Eu Quero Da Vida,,151849,5024963,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller
Shamrocks And Shenanigans (Boom Shalock Lock Boom/Butch Vig Mix),E. Schrody/L. Dimant,237035,9483705,0.99,Hip Hop/Rap,House of Pain,House Of Pain
Talk About The Passion,R.E.M.,203206,6725435,0.99,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.
Rasul,Jeremy Wall,238315,7854737,0.99,Jazz,Morning Dance,Spyro Gyra
Tim Tim Por Tim Tim,Vários,213237,7143328,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim
Pini Di Roma (Pinien Von Rom) \ I Pini Della Via Appia,,286741,4718950,0.99,Classical,Respighi:Pines of Rome,Eugene Ormandy
Die Die My Darling,Danzig,149315,4867667,0.99,Metal,Garage Inc. (Disc 1),Metallica
Enter Sandman,Apocalyptica,221701,7286305,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica
Harvester Of Sorrow,James Hetfield and Lars Ulrich,345547,11377339,0.99,Metal,...And Justice For All,Metallica
Child In Time (Son Of Aleric - Instrumental),"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice",602880,19712753,0.99,Rock,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,Deep Purple
I'm A Greedy Man Pt.1,Charles Bobbitt/James Brown,217730,7251211,0.99,R&B/Soul,Sex Machine,James Brown
The One I Love,R.E.M.,197355,6495125,0.99,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.
Onibusfobia,,315977,10474904,0.99,Latin,Jota Quest-1995,Jota Quest
O Estrangeiro,,374700,12472890,0.99,Latin,Minha Historia,Chico Buarque
Voce Nao Entende Nada - Cotidiano,,421982,13885612,0.99,Latin,Minha Historia,Chico Buarque
Planet Home,Jay Kay/Toby Smith,284447,9566237,0.99,R&B/Soul,Synkronized,Jamiroquai
Give Peace a Chance,,274644,4448025,0.99,Pop,Instant Karma: The Amnesty International Campaign to Save Darfur,U2
Flor De Lis,Djavan,236355,7801108,0.99,Latin,Djavan Ao Vivo - Vol. 1,Djavan
Esperando Por Mim,Renato Russo,261668,8844133,0.99,Latin,A TempestadeTempestade Ou O Livro Dos Dias,Legião Urbana
Iron Maiden,Steve Harris,351869,14076032,0.99,Rock,Rock In Rio [CD2],Iron Maiden
Dead Horse,,257600,4394014,0.99,Rock,Use Your Illusion I,Guns N' Roses
Sheer Heart Attack,Taylor,207386,6642685,0.99,Rock,News Of The World,Queen
Light My Fire,"Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",428329,13963351,0.99,Rock,The Doors,The Doors
Chão de Giz (Elba Ramalho),,274834,9016916,0.99,Latin,Vozes do MPB,Various Artists
Waiting On A Sign,The Tea Party,261903,8558590,0.99,Alternative & Punk,Tangents,The Tea Party
Wildest Dreams,Adrian Smith/Steve Harris,232777,9312384,0.99,Heavy Metal,Dance Of Death,Iron Maiden
Murders In The Rue Morgue,Steve Harris,258377,6205786,0.99,Heavy Metal,Killers,Iron Maiden
Pot-Pourri N.º 4,,392437,13125975,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius
The Witch,,258768,8725403,0.99,Rock,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",The Cult
Sobremesa,Chico Science,240091,7960868,0.99,Latin,Afrociberdelia,Chico Science & Nação Zumbi
Outbreak,Jim Beard & Jon Herington,659226,21685807,0.99,Jazz,Outbreak,Dennis Chambers
Construção / Deus Lhe Pague,,383059,12675305,0.99,Latin,Minha Historia,Chico Buarque
My Funny Valentine (Live),Miles Davis,907520,29416781,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis
Angel,Carolyn Franklin and Sonny Saunders,240561,7880256,0.99,Rock,Greatest Hits,Lenny Kravitz
Heaven Can Wait,Steve Harris,441417,10596431,0.99,Metal,Somewhere in Time,Iron Maiden
Company Man,,2601101,503786316,1.99,Drama,"Heroes, Season 1",Heroes
Perfect,Billy Corgan,203023,6734636,0.99,Alternative & Punk,Rotten Apples: Greatest Hits,Smashing Pumpkins
